,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
270,Graph with 7 nodes and 8 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 4, 1: 5, 2: 6, 3: 3, 4: 7, 5: 8, 6: 9}","{(0, 3): 1, (0, 5): 2, (0, 6): 1, (1, 4): 3, (1, 6): 2, (2, 5): 6, (3, 6): 2, (4, 6): 4}",1069.999999998572
1201,Graph with 7 nodes and 17 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",3.0,3.0,Y,"{0: 6, 1: 3, 2: 21, 3: 15, 4: 9, 5: 12, 6: 18}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 2, (1, 5): 1, (1, 6): 2, (2, 3): 11, (2, 4): 1, (2, 5): 4, (2, 6): 4, (3, 4): 1, (3, 5): 1, (3, 6): 1, (4, 5): 1, (4, 6): 5, (5, 6): 4}",1556.9999999911488
445,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",4.0,5.0,Y,"{0: 14, 1: 19, 2: 24, 3: 4, 4: 34, 5: 9, 6: 29}","{(0, 3): 1, (0, 5): 1, (0, 6): 11, (1, 4): 3, (1, 6): 15, (2, 4): 24, (3, 5): 2, (3, 6): 1, (4, 5): 5, (4, 6): 1}",1665.000000002692
709,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",2.0,1.0,Y,"{0: 6, 1: 3, 2: 2, 3: 4, 4: 7, 5: 5, 6: 8}","{(0, 3): 1, (0, 4): 2, (0, 5): 1, (0, 6): 1, (1, 4): 1, (1, 5): 1, (1, 6): 1, (2, 6): 2, (3, 4): 1, (3, 5): 1, (3, 6): 1, (4, 5): 1, (4, 6): 1, (5, 6): 1}",1379.9999999832835
1082,Graph with 7 nodes and 11 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 1, 0]]",3.0,5.0,Y,"{0: 33, 1: 13, 2: 3, 3: 8, 4: 18, 5: 23, 6: 28}","{(0, 2): 1, (0, 4): 16, (0, 5): 3, (0, 6): 13, (1, 3): 6, (1, 5): 6, (1, 6): 1, (2, 4): 2, (3, 5): 1, (3, 6): 1, (5, 6): 13}",1748.9999999611427
827,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",4.0,2.0,Y,"{0: 4, 1: 10, 2: 8, 3: 12, 4: 14, 5: 6, 6: 16}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 4): 3, (1, 5): 1, (1, 6): 6, (2, 4): 1, (2, 5): 1, (2, 6): 6, (3, 4): 7, (3, 5): 3, (3, 6): 1, (4, 6): 2}",1148.9999999980682
1215,Graph with 7 nodes and 17 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",4.0,8.0,Y,"{0: 12, 1: 4, 2: 52, 3: 36, 4: 20, 5: 28, 6: 44}","{(0, 2): 1, (0, 3): 8, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 5): 1, (1, 6): 3, (2, 3): 1, (2, 4): 1, (2, 5): 22, (2, 6): 27, (3, 4): 16, (3, 5): 1, (3, 6): 10, (4, 5): 1, (4, 6): 1, (5, 6): 2}",1649.0000000430882
824,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,8.0,Y,"{0: 43, 1: 11, 2: 3, 3: 51, 4: 35, 5: 27, 6: 19}","{(0, 3): 17, (0, 4): 1, (0, 5): 24, (0, 6): 1, (1, 4): 9, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 5): 1, (2, 6): 1, (3, 4): 20, (3, 5): 1, (3, 6): 12, (4, 6): 3}",1271.9999999717402
1006,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0]]",3.0,1.0,Y,"{0: 4, 1: 9, 2: 3, 3: 7, 4: 6, 5: 8, 6: 5}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 2, (1, 4): 3, (1, 5): 3, (1, 6): 1, (2, 4): 2, (2, 6): 1, (3, 5): 3, (3, 6): 1, (5, 6): 1}",1939.9999999905049
84,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",2.0,3.0,Y,"{0: 14, 1: 5, 2: 8, 3: 2, 4: 20, 5: 11, 6: 17}","{(0, 4): 5, (0, 5): 3, (0, 6): 5, (1, 4): 5, (2, 5): 7, (2, 6): 1, (3, 5): 1, (3, 6): 1, (4, 6): 9}",1898.999999980333
879,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1], [0, 1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",3.0,9.0,Y,"{0: 57, 1: 39, 2: 3, 3: 48, 4: 30, 5: 21, 6: 12}","{(0, 3): 32, (0, 4): 25, (1, 3): 14, (1, 5): 18, (1, 6): 7, (2, 4): 1, (2, 5): 1, (2, 6): 1, (3, 5): 1, (3, 6): 1, (4, 5): 1, (4, 6): 3}",1705.9999999560205
1135,Graph with 7 nodes and 14 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 1, 1, 0]]",3.0,5.0,Y,"{0: 8, 1: 33, 2: 23, 3: 3, 4: 13, 5: 18, 6: 28}","{(0, 2): 5, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 3, (1, 4): 1, (1, 5): 6, (1, 6): 23, (2, 4): 9, (2, 5): 8, (2, 6): 1, (4, 5): 1, (4, 6): 1, (5, 6): 2}",1338.9999999731117
931,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 1], [1, 0, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",3.0,7.0,Y,"{0: 38, 1: 10, 2: 3, 3: 45, 4: 31, 5: 24, 6: 17}","{(0, 3): 17, (0, 4): 1, (0, 5): 19, (0, 6): 1, (1, 3): 8, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 5): 1, (2, 6): 1, (3, 4): 19, (3, 6): 1, (4, 6): 10, (5, 6): 3}",1722.999999969943
1038,Graph with 7 nodes and 15 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 1, 0], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1, 0]]",4.0,6.0,Y,"{0: 4, 1: 16, 2: 10, 3: 22, 4: 28, 5: 34, 6: 40}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 11, (1, 4): 1, (1, 5): 3, (1, 6): 1, (2, 4): 1, (2, 5): 8, (2, 6): 1, (3, 4): 9, (3, 5): 1, (4, 6): 16, (5, 6): 21}",1588.9999999672
825,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,9.0,Y,"{0: 48, 1: 12, 2: 3, 3: 57, 4: 39, 5: 30, 6: 21}","{(0, 3): 19, (0, 4): 1, (0, 5): 27, (0, 6): 1, (1, 4): 10, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 5): 1, (2, 6): 1, (3, 4): 23, (3, 5): 1, (3, 6): 14, (4, 6): 4}",1440.9999999998035
690,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",2.0,9.0,Y,"{0: 11, 1: 56, 2: 2, 3: 38, 4: 20, 5: 29, 6: 47}","{(0, 3): 6, (0, 4): 1, (0, 5): 1, (0, 6): 2, (1, 4): 17, (1, 5): 27, (1, 6): 12, (2, 6): 2, (3, 4): 1, (3, 5): 1, (3, 6): 29, (4, 6): 1}",1731.0000000065884
426,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",2.0,4.0,Y,"{0: 26, 1: 6, 2: 2, 3: 14, 4: 18, 5: 22, 6: 10}","{(0, 3): 12, (0, 5): 11, (0, 6): 3, (1, 4): 3, (1, 6): 3, (2, 4): 2, (3, 5): 1, (3, 6): 1, (4, 5): 10, (4, 6): 3}",562.0000000021719
645,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,9.0,Y,"{0: 39, 1: 21, 2: 12, 3: 3, 4: 48, 5: 30, 6: 57}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 36, (1, 4): 16, (1, 5): 1, (1, 6): 4, (2, 5): 1, (2, 6): 11, (3, 5): 1, (3, 6): 1, (4, 5): 26, (4, 6): 5}",1567.9999999633765
532,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,4.0,Y,"{0: 19, 1: 7, 2: 15, 3: 11, 4: 23, 5: 3, 6: 27}","{(0, 3): 10, (0, 4): 6, (0, 5): 1, (0, 6): 1, (1, 4): 6, (1, 6): 1, (2, 5): 1, (2, 6): 14, (3, 6): 1, (4, 5): 1, (4, 6): 9}",1380.0000000117052
792,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1], [0, 1, 1, 1, 1, 1, 0]]",2.0,3.0,Y,"{0: 11, 1: 5, 2: 17, 3: 2, 4: 8, 5: 20, 6: 14}","{(0, 3): 1, (0, 4): 1, (0, 5): 9, (1, 4): 1, (1, 5): 1, (1, 6): 3, (2, 4): 2, (2, 5): 8, (2, 6): 6, (3, 6): 1, (4, 5): 1, (4, 6): 2, (5, 6): 1}",1326.0000000059335
1217,Graph with 7 nodes and 15 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 5, 1: 4, 2: 3, 3: 8, 4: 7, 5: 6, 6: 9}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 6): 1, (3, 5): 3, (3, 6): 3, (4, 5): 1, (4, 6): 3}",758.0000000189102
140,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",2.0,5.0,Y,"{0: 27, 1: 17, 2: 2, 3: 7, 4: 22, 5: 32, 6: 12}","{(0, 4): 13, (0, 5): 10, (0, 6): 3, (1, 4): 1, (1, 5): 15, (1, 6): 1, (2, 4): 1, (2, 6): 1, (3, 5): 7, (4, 6): 6}",1287.000000019134
564,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",3.0,9.0,Y,"{0: 3, 1: 30, 2: 12, 3: 39, 4: 48, 5: 21, 6: 57}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 4): 25, (1, 5): 4, (1, 6): 1, (2, 6): 12, (3, 6): 38, (4, 5): 16, (4, 6): 6}",2018.9999999615793
1162,Graph with 7 nodes and 15 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",3.0,6.0,Y,"{0: 9, 1: 39, 2: 27, 3: 3, 4: 15, 5: 21, 6: 33}","{(0, 2): 6, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 2, (1, 4): 8, (1, 5): 1, (1, 6): 28, (2, 4): 3, (2, 5): 16, (2, 6): 1, (3, 6): 1, (4, 5): 1, (4, 6): 1, (5, 6): 1}",1577.9999999949723
623,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0]]",4.0,5.0,Y,"{0: 34, 1: 19, 2: 9, 3: 24, 4: 14, 5: 4, 6: 29}","{(0, 3): 19, (0, 4): 1, (0, 5): 1, (0, 6): 12, (1, 4): 13, (1, 5): 1, (1, 6): 5, (2, 5): 2, (2, 6): 7, (3, 6): 4}",1912.0000000043547
1097,Graph with 7 nodes and 14 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 10, 5: 14, 6: 12}","{(0, 2): 1, (0, 4): 1, (0, 5): 1, (0, 6): 5, (1, 3): 1, (1, 4): 1, (1, 5): 2, (2, 4): 1, (2, 5): 3, (2, 6): 1, (3, 6): 1, (4, 5): 5, (4, 6): 2, (5, 6): 3}",1598.0000000013206
985,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",3.0,7.0,Y,"{0: 10, 1: 45, 2: 3, 3: 38, 4: 31, 5: 24, 6: 17}","{(0, 3): 1, (0, 4): 7, (0, 5): 1, (0, 6): 1, (1, 3): 25, (1, 4): 8, (1, 5): 11, (1, 6): 1, (2, 4): 2, (2, 6): 1, (3, 5): 12, (4, 6): 14}",1307.9999999945358
970,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",2.0,1.0,Y,"{0: 8, 1: 5, 2: 2, 3: 4, 4: 7, 5: 3, 6: 6}","{(0, 3): 1, (0, 4): 3, (0, 5): 1, (0, 6): 2, (1, 3): 2, (1, 4): 1, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 6): 1, (3, 5): 1, (4, 6): 1}",1070.9999999676256
561,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",3.0,6.0,Y,"{0: 3, 1: 21, 2: 9, 3: 27, 4: 33, 5: 15, 6: 39}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 4): 17, (1, 5): 2, (1, 6): 1, (2, 6): 9, (3, 6): 26, (4, 5): 11, (4, 6): 3}",2856.0000000084074
42,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",3.0,5.0,Y,"{0: 8, 1: 18, 2: 23, 3: 3, 4: 13, 5: 33, 6: 28}","{(0, 4): 2, (0, 5): 1, (0, 6): 5, (1, 5): 1, (1, 6): 17, (2, 5): 23, (3, 6): 3, (4, 5): 8, (4, 6): 3}",1220.0000000177624
181,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0]]",4.0,1.0,Y,"{0: 6, 1: 7, 2: 4, 3: 5, 4: 10, 5: 8, 6: 9}","{(0, 4): 3, (0, 5): 1, (0, 6): 2, (1, 4): 5, (1, 5): 1, (1, 6): 1, (2, 4): 2, (2, 5): 1, (2, 6): 1, (3, 5): 2, (3, 6): 2, (5, 6): 2}",4435.99999999833
749,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 1], [1, 0, 0, 1, 1, 1, 0]]",3.0,5.0,Y,"{0: 13, 1: 8, 2: 33, 3: 3, 4: 23, 5: 28, 6: 18}","{(0, 3): 1, (0, 4): 2, (0, 6): 10, (1, 4): 7, (1, 5): 1, (2, 4): 13, (2, 5): 20, (3, 5): 1, (3, 6): 1, (4, 6): 1, (5, 6): 6}",585.9999999984211
854,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0], [1, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0]]",4.0,2.0,Y,"{0: 16, 1: 6, 2: 10, 3: 12, 4: 8, 5: 14, 6: 4}","{(0, 3): 10, (0, 4): 5, (0, 6): 1, (1, 3): 1, (1, 5): 4, (1, 6): 1, (2, 4): 1, (2, 5): 9, (3, 5): 1, (4, 6): 2}",536.0000000109721
947,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",2.0,5.0,Y,"{0: 7, 1: 32, 2: 2, 3: 22, 4: 12, 5: 17, 6: 27}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 4, (1, 3): 12, (1, 4): 1, (1, 5): 7, (1, 6): 11, (2, 5): 1, (2, 6): 1, (3, 5): 7, (3, 6): 1, (4, 6): 10}",1123.0000000068685
907,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 1], [1, 0, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 4, 1: 3, 2: 5, 3: 9, 4: 7, 5: 6, 6: 8}","{(0, 3): 1, (0, 4): 1, (0, 5): 2, (1, 3): 1, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 5): 3, (2, 6): 1, (3, 4): 3, (3, 6): 4, (4, 6): 2}",1161.0000000246146
703,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",4.0,4.0,Y,"{0: 20, 1: 12, 2: 16, 3: 24, 4: 4, 5: 8, 6: 28}","{(0, 3): 17, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 4): 1, (1, 5): 6, (1, 6): 5, (2, 6): 16, (3, 4): 1, (3, 5): 1, (3, 6): 5, (4, 6): 1}",1848.999999992884
982,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",3.0,4.0,Y,"{0: 7, 1: 27, 2: 3, 3: 23, 4: 19, 5: 15, 6: 11}","{(0, 3): 1, (0, 4): 4, (0, 5): 1, (0, 6): 1, (1, 3): 14, (1, 4): 5, (1, 5): 6, (1, 6): 1, (2, 4): 2, (2, 6): 1, (3, 5): 7, (4, 6): 8}",1228.000000025986
428,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",2.0,6.0,Y,"{0: 26, 1: 2, 2: 8, 3: 32, 4: 20, 5: 38, 6: 14}","{(0, 3): 9, (0, 5): 16, (0, 6): 1, (1, 4): 1, (1, 6): 1, (2, 4): 8, (3, 5): 12, (3, 6): 11, (4, 5): 10, (4, 6): 1}",1035.9999999991487
259,Graph with 7 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 1, 0, 0]]",4.0,8.0,Y,"{0: 28, 1: 20, 2: 44, 3: 4, 4: 12, 5: 36, 6: 52}","{(0, 3): 4, (0, 5): 24, (1, 4): 6, (1, 6): 14, (2, 5): 12, (2, 6): 32, (4, 6): 6}",1807.9999999827123
615,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0]]",3.0,6.0,Y,"{0: 39, 1: 27, 2: 3, 3: 15, 4: 21, 5: 9, 6: 33}","{(0, 3): 10, (0, 4): 1, (0, 5): 1, (0, 6): 26, (1, 4): 20, (1, 5): 6, (1, 6): 1, (2, 5): 2, (2, 6): 1, (3, 6): 4}",2075.9999999881984
