,Graph,Adjacency_list,a,d,APG_label_availability,Edge weights
87,Graph with 5 nodes and 7 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",2.0,8.0,Y,"{(0, 3): 9, (0, 4): 9, (1, 3): 1, (1, 4): 1, (2, 3): 9, (2, 4): 1, (3, 4): 15}"
392,Graph with 5 nodes and 10 edges,"[[0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,6.0,Y,"{(0, 1): 1, (0, 2): 1, (0, 3): 7, (0, 4): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 3): 7, (2, 4): 19, (3, 4): 1}"
172,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0]]",3.0,2.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 4, (1, 4): 3, (2, 3): 4, (2, 4): 3}"
276,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,7.0,Y,"{(0, 2): 1, (0, 3): 15, (0, 4): 7, (1, 3): 8, (1, 4): 1, (2, 4): 1, (3, 4): 7}"
58,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,7.0,Y,"{(0, 3): 2, (0, 4): 7, (1, 3): 15, (1, 4): 1, (2, 4): 2, (3, 4): 13}"
370,Graph with 5 nodes and 9 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,2.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 2, (1, 3): 5, (1, 4): 3, (2, 3): 1, (2, 4): 1, (3, 4): 1}"
73,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,6.0,Y,"{(0, 3): 11, (0, 4): 11, (1, 3): 1, (1, 4): 9, (2, 4): 4, (3, 4): 4}"
108,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,1.0,Y,"{(0, 2): 1, (0, 4): 2, (1, 3): 4, (1, 4): 2, (2, 4): 1}"
292,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,5.0,Y,"{(0, 2): 1, (0, 3): 2, (0, 4): 1, (1, 3): 18, (1, 4): 1, (2, 4): 8, (3, 4): 4}"
217,Graph with 5 nodes and 5 edges,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]]",2.0,2.0,Y,"{(0, 2): 1, (0, 3): 1, (1, 3): 7, (1, 4): 3, (2, 4): 3}"
245,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 6, (1, 3): 4, (1, 4): 7, (2, 4): 1}"
373,Graph with 5 nodes and 9 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 1, (1, 3): 15, (1, 4): 6, (2, 3): 1, (2, 4): 4, (3, 4): 1}"
333,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",3.0,1.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 2, (1, 3): 3, (1, 4): 1, (2, 4): 2}"
44,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]]",4.0,5.0,Y,"{(0, 3): 2, (0, 4): 2, (1, 3): 9, (2, 4): 19, (3, 4): 3}"
342,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",4.0,1.0,Y,"{(0, 2): 1, (0, 3): 2, (0, 4): 1, (1, 2): 3, (1, 3): 3, (1, 4): 2, (2, 4): 3}"
328,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 5, (1, 2): 10, (1, 3): 1, (1, 4): 1, (2, 4): 11}"
100,Graph with 5 nodes and 7 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,5.0,Y,"{(0, 3): 5, (0, 4): 9, (1, 3): 3, (1, 4): 1, (2, 3): 8, (2, 4): 1, (3, 4): 8}"
251,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,9.0,Y,"{(0, 2): 1, (0, 3): 10, (0, 4): 9, (1, 3): 1, (1, 4): 1, (2, 4): 28}"
266,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",4.0,6.0,Y,"{(0, 2): 2, (0, 3): 1, (0, 4): 1, (1, 3): 21, (1, 4): 7, (2, 4): 8}"
