,Graph,Adjacency_list,a,d,APG_label_availability,Edge weights
635,Graph with 6 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,6.0,Y,"{(0, 3): 5, (0, 4): 12, (0, 5): 4, (1, 3): 25, (1, 4): 1, (1, 5): 1, (2, 3): 1, (2, 4): 1, (2, 5): 1, (3, 5): 2, (4, 5): 1}"
17,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,6.0,Y,"{(0, 4): 2, (0, 5): 14, (1, 4): 21, (1, 5): 1, (2, 5): 10, (3, 5): 4, (4, 5): 5}"
23,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,6.0,Y,"{(0, 4): 5, (0, 5): 22, (1, 4): 1, (1, 5): 2, (2, 4): 15, (3, 5): 9}"
366,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,7.0,Y,"{(0, 3): 16, (0, 4): 1, (0, 5): 1, (1, 4): 1, (1, 5): 10, (2, 4): 1, (2, 5): 3, (3, 4): 6, (3, 5): 2, (4, 5): 22}"
1,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,3.0,Y,"{(0, 4): 1, (0, 5): 6, (1, 4): 10, (1, 5): 1, (2, 5): 5, (3, 5): 2, (4, 5): 2}"
191,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,3.0,Y,"{(0, 3): 12, (0, 4): 3, (0, 5): 2, (1, 4): 1, (1, 5): 8, (2, 5): 3, (4, 5): 1}"
695,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,3.0,Y,"{(0, 2): 1, (0, 4): 5, (0, 5): 1, (1, 3): 7, (1, 5): 8, (2, 4): 2, (2, 5): 1, (3, 5): 5, (4, 5): 3}"
853,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 1, 1], [1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,8.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 5): 36, (2, 3): 6, (2, 4): 4, (2, 5): 1, (3, 4): 15, (3, 5): 6}"
737,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,9.0,Y,"{(0, 2): 1, (0, 4): 5, (0, 5): 4, (1, 3): 37, (1, 4): 9, (1, 5): 1, (2, 4): 1, (3, 5): 1, (4, 5): 13}"
321,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,7.0,Y,"{(0, 3): 1, (0, 4): 1, (0, 5): 7, (1, 4): 1, (1, 5): 1, (2, 4): 18, (2, 5): 11, (3, 5): 15, (4, 5): 2}"
472,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,5.0,Y,"{(0, 3): 1, (0, 4): 3, (0, 5): 9, (1, 3): 2, (1, 5): 7, (2, 4): 19, (3, 5): 1, (4, 5): 6}"
1016,Graph with 6 nodes and 11 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 2): 2, (1, 3): 1, (1, 4): 3, (1, 5): 1, (2, 4): 1, (2, 5): 2, (3, 5): 1}"
441,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",4.0,1.0,Y,"{(0, 3): 3, (0, 4): 2, (0, 5): 2, (1, 3): 4, (2, 4): 5, (2, 5): 1, (3, 5): 1}"
279,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,1.0,Y,"{(0, 3): 3, (0, 4): 1, (0, 5): 1, (1, 4): 1, (1, 5): 2, (2, 4): 5, (3, 5): 3, (4, 5): 1}"
122,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,4.0,Y,"{(0, 3): 3, (0, 5): 1, (1, 4): 3, (1, 5): 9, (2, 4): 20, (3, 5): 5, (4, 5): 1}"
552,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,4.0,Y,"{(0, 3): 6, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 2, (2, 5): 16, (3, 4): 9, (3, 5): 4, (4, 5): 1}"
370,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0]]",2.0,2.0,Y,"{(0, 3): 1, (0, 4): 1, (1, 3): 1, (1, 5): 3, (2, 4): 6, (3, 5): 8, (4, 5): 1}"
238,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",2.0,5.0,Y,"{(0, 3): 17, (0, 4): 3, (0, 5): 1, (1, 4): 2, (2, 5): 7, (3, 4): 8, (3, 5): 1, (4, 5): 3}"
62,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,4.0,Y,"{(0, 3): 1, (0, 5): 2, (1, 4): 15, (1, 5): 4, (2, 5): 11, (3, 5): 6}"
783,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,1.0,Y,"{(0, 2): 1, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 2, (2, 4): 2, (2, 5): 1, (3, 5): 1, (4, 5): 1}"
110,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,1.0,Y,"{(0, 3): 2, (0, 5): 2, (1, 4): 1, (1, 5): 2, (2, 4): 6, (3, 5): 1, (4, 5): 1}"
694,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,2.0,Y,"{(0, 2): 9, (0, 4): 3, (0, 5): 2, (1, 3): 3, (1, 5): 1, (2, 4): 2, (2, 5): 1, (3, 5): 5, (4, 5): 1}"
879,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",4.0,7.0,Y,"{(0, 2): 15, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 4): 10, (1, 5): 1, (2, 3): 3, (2, 4): 9, (2, 5): 4, (4, 5): 18}"
888,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,7.0,Y,"{(0, 2): 6, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 4): 1, (1, 5): 1, (2, 3): 12, (2, 4): 14, (2, 5): 4, (3, 5): 16}"
850,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 1, 1], [1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 5): 24, (2, 3): 4, (2, 4): 2, (2, 5): 1, (3, 4): 10, (3, 5): 3}"
842,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 1, 1], [1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,6.0,Y,"{(0, 2): 2, (0, 3): 5, (0, 4): 1, (0, 5): 1, (1, 5): 3, (2, 3): 11, (2, 4): 19, (2, 5): 1, (3, 4): 1, (3, 5): 10}"
1009,Graph with 6 nodes and 11 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",4.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 2): 7, (1, 3): 6, (1, 4): 1, (1, 5): 4, (2, 4): 1, (2, 5): 3, (4, 5): 7}"
953,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,9.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 5): 11, (1, 3): 26, (1, 4): 1, (1, 5): 12, (2, 4): 1, (2, 5): 2, (3, 5): 3, (4, 5): 20}"
1018,Graph with 6 nodes and 11 edges,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,3.0,Y,"{(0, 2): 1, (0, 3): 2, (0, 4): 1, (0, 5): 1, (1, 2): 12, (1, 3): 4, (1, 4): 1, (1, 5): 1, (2, 4): 1, (2, 5): 1, (3, 5): 5}"
334,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,2.0,Y,"{(0, 3): 4, (0, 4): 1, (0, 5): 1, (1, 4): 5, (1, 5): 7, (2, 4): 3, (2, 5): 1, (3, 5): 4, (4, 5): 1}"
394,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0]]",4.0,8.0,Y,"{(0, 3): 1, (0, 4): 35, (1, 3): 4, (1, 5): 8, (2, 4): 4, (3, 5): 15, (4, 5): 5}"
929,Graph with 6 nodes and 8 edges,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",4.0,3.0,Y,"{(0, 2): 2, (0, 3): 1, (0, 5): 1, (1, 3): 5, (1, 4): 5, (1, 5): 8, (2, 4): 5, (3, 5): 6}"
148,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,5.0,Y,"{(0, 3): 11, (0, 4): 13, (0, 5): 4, (1, 5): 4, (2, 5): 9, (3, 4): 1, (3, 5): 6}"
373,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0]]",2.0,5.0,Y,"{(0, 3): 1, (0, 4): 1, (1, 3): 2, (1, 5): 4, (2, 4): 12, (3, 5): 18, (4, 5): 4}"
253,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",4.0,2.0,Y,"{(0, 3): 2, (0, 4): 1, (0, 5): 1, (1, 4): 10, (2, 5): 6, (3, 4): 2, (3, 5): 4, (4, 5): 1}"
188,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",2.0,9.0,Y,"{(0, 3): 11, (0, 4): 23, (0, 5): 12, (1, 4): 1, (1, 5): 1, (2, 5): 20, (4, 5): 4}"
940,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,5.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 5): 6, (1, 3): 14, (1, 4): 1, (1, 5): 7, (2, 4): 1, (2, 5): 1, (3, 5): 2, (4, 5): 11}"
794,Graph with 6 nodes and 10 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,3.0,Y,"{(0, 2): 1, (0, 4): 7, (0, 5): 1, (1, 3): 1, (1, 4): 3, (1, 5): 1, (2, 4): 1, (2, 5): 1, (3, 5): 11, (4, 5): 3}"
